name_primary,artist_id,country_relevance_score,is_country_core,is_country_broad,source_seed,norm_name,hot_country_number_one,hot_country_number_one_matched_name,country_hall_of_fame,country_hall_of_fame_matched_name,billboard_best_country_singers,billboard_best_country_singers_matched_name,in_any_reference_list,reference_list_count,reference_list_hits
Shelley King,artist_000204,1.0,1.0,1.0,Category:American country singer-songwriters,shelley king,False,,False,,False,,False,0,
Sam Williams,artist_000205,1.0,1.0,1.0,Category:American country singer-songwriters,sam williams,False,,False,,False,,False,0,
Stephen Wilson Jr.,artist_000206,1.0,1.0,1.0,Category:American country singer-songwriters,stephen wilson jr,False,,False,,False,,False,0,
Justin Moore,artist_000207,1.0,1.0,1.0,Category:American country singer-songwriters,justin moore,False,,False,,False,,False,0,
Joe South,artist_000208,1.0,1.0,1.0,Category:American country singer-songwriters,joe south,False,,False,,False,,False,0,
Connie Cato,artist_000211,1.0,1.0,1.0,Category:American country singer-songwriters,connie cato,False,,False,,False,,False,0,
Megan Mullins,artist_000212,1.0,1.0,1.0,Category:American country singer-songwriters,megan mullins,False,,False,,False,,False,0,
Brady Seals,artist_000213,1.0,1.0,1.0,Category:American country singer-songwriters,brady seals,False,,False,,False,,False,0,
Tyler Braden,artist_000214,1.0,1.0,1.0,Category:American country singer-songwriters,tyler braden,False,,False,,False,,False,0,
Bud Hobbs,artist_000215,1.0,1.0,1.0,Category:American country singers,bud hobbs,False,,False,,False,,False,0,
Sneaky Pete Kleinow,artist_000216,1.0,1.0,1.0,Category:American country singer-songwriters,sneaky pete kleinow,False,,False,,False,,False,0,
"Layng Martine, Jr.",artist_000218,1.0,1.0,1.0,Category:American country singer-songwriters,layng martine jr,False,,False,,False,,False,0,
Mark Nesler,artist_000219,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,mark nesler,False,,False,,False,,False,0,
Jonathan Singleton,artist_000220,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jonathan singleton,False,,False,,False,,False,0,
Jim Weatherly,artist_000221,1.0,1.0,1.0,Category:American country singer-songwriters,jim weatherly,False,,False,,False,,False,0,
Jimmy Velvit,artist_000222,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas|Category:Country musicians from Oklahoma,jimmy velvit,False,,False,,False,,False,0,
Stan Hitchcock,artist_000223,1.0,1.0,1.0,Category:American country singers,stan hitchcock,False,,False,,False,,False,0,
Jim Eanes,artist_000224,1.0,1.0,1.0,Category:American country singer-songwriters,jim eanes,False,,False,,False,,False,0,
Johnny Carver,artist_000225,1.0,1.0,1.0,Category:American country singer-songwriters,johnny carver,False,,False,,False,,False,0,
Jackson Rohm,artist_000226,1.0,1.0,1.0,Category:American country singer-songwriters,jackson rohm,False,,False,,False,,False,0,
Pokey LaFarge,artist_000227,1.0,1.0,1.0,Category:American country singer-songwriters,pokey lafarge,False,,False,,False,,False,0,
Hank Penny,artist_000228,1.0,1.0,1.0,Category:American country singer-songwriters,hank penny,False,,False,,False,,False,0,
Judy Martin,artist_000229,1.0,1.0,1.0,Category:American country singer-songwriters,judy martin,False,,False,,False,,False,0,
Harlow Wilcox,artist_000230,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,harlow wilcox,False,,False,,False,,False,0,
L.E. White,artist_000231,1.0,1.0,1.0,Category:Country musicians from Tennessee,l e white,False,,False,,False,,False,0,
Wayne Perry,artist_000232,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,wayne perry,False,,False,,False,,False,0,
Jesse Hunter,artist_000233,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jesse hunter,False,,False,,False,,False,0,
Kim Tribble,artist_000234,1.0,1.0,1.0,Category:American country singer-songwriters,kim tribble,False,,False,,False,,False,0,
Jimbeau Hinson,artist_000235,1.0,1.0,1.0,Category:American country singer-songwriters,jimbeau hinson,False,,False,,False,,False,0,
Frank Foster,artist_000236,1.0,1.0,1.0,Category:American country singer-songwriters,frank foster,False,,False,,False,,False,0,
Mickey Jack Cones,artist_000237,1.0,1.0,1.0,Category:Country musicians from Texas,mickey jack cones,False,,False,,False,,False,0,
John Driskell Hopkins,artist_000238,1.0,1.0,1.0,Category:American country singer-songwriters,john driskell hopkins,False,,False,,False,,False,0,
Jaren Johnston,artist_000239,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,jaren johnston,False,,False,,False,,False,0,
