artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles,source_kinds,artist_in_adjacent,artist_in_full
artist_000559,Frankie Miller,Frankie Miller,existing_artist,Family Man,family man,1959,7,1959|1959,7|46,1959 in country music|Billboard year-end top 50 country & western singles of 1959,year_end|year_end_wikipedia,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,Bless Your Heart,bless your heart,1972,1,1972,1,List of Hot Country Singles number ones of 1972,weekly_number_one_wikipedia,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,Chain Gang,chain gang,1959,17,1959,17,1959 in country music,year_end,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,Easy Loving,easy loving,1971,1,1971,1,List of Hot Country Singles number ones of 1971,weekly_number_one_wikipedia,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,Got the All Overs for You (All Over Me),got the all overs for you,1972,1,1972,1,List of Hot Country Singles number ones of 1972,weekly_number_one_wikipedia,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,Hang in There Girl,hang in there girl,1974,2,1974,2,1974 in country music,year_end,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,My Hang-Up Is You,my hang up is you,1972,1,1972,1,List of Hot Country Singles number ones of 1972,weekly_number_one_wikipedia,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,Super Kind of Woman,super kind of woman,1973,1,1973,1,List of Hot Country Singles number ones of 1973,weekly_number_one_wikipedia,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,The Key's in the Mailbox,the key s in the mailbox,1960,18,1960,18,1960 in country music,year_end,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,The Want-To's,the want to s,1974,3,1974,3,1974 in country music,year_end,0,1
artist_000560,Freddie Hart,Freddie Hart,existing_artist,Trip to Heaven,trip to heaven,1973,1,1973,1,List of Hot Country Singles number ones of 1973,weekly_number_one_wikipedia,0,1
